"mre","CRISPR_MIR_ratio","WT_MIR_ratio","active_annotation","fold_change_val"
"E4",0.846316905140435,0.841985428051002,"ACTIVE",1.00514436110784
"D2",0.736842105263158,0.805626598465473,"Inactive",0.914619883040936
"F11",0.631098520616934,0.733868921775899,"Inactive",0.859960821190971
"F6",0.314814814814815,0.712799119831301,"Inactive",0.441659937640387
"G5",0.00642214927929214,0.0197890654427254,"Inactive",0.324530195621389
"H6",3.80240448443723,12.3439556974498,"Inactive",0.308037761770546
"F8",0.190019193857965,0.735998026153467,"Inactive",0.258178944923344
"E5",0.318548909522781,8.76651480637813,"Inactive",0.0363370069586855
"F2",0.57859135875539,89.1626506024096,"Inactive",0.0064891673233832
"G11",0.00293901542983101,1.08809746954077,"Inactive",0.00270105896953461
